시군명,2024개수,2022개수,증가분
평택시,28535,20078,8457
수원시,37487,35465,2022
광명시,10594,8745,1849
양주시,9736,7895,1841
화성시,27663,26308,1355
시흥시,14727,13375,1352
파주시,15986,14784,1202
용인시,27909,27146,763
안양시,16937,16178,759
과천시,2032,1469,563
연천군,2169,1943,226
하남시,9206,9103,103
이천시,8427,8433,-6
오산시,7052,7125,-73
양평군,4476,4552,-76
남양주시,20531,20709,-178
가평군,3354,3553,-199
동두천시,3308,3554,-246
의왕시,3574,3919,-345
고양시,26672,27042,-370
여주시,4709,5102,-393
포천시,6566,6962,-396
구리시,6281,6751,-470
부천시,26036,26742,-706
광주시,11204,11974,-770
김포시,14833,15668,-835
의정부시,13485,14337,-852
안성시,7662,8590,-928
군포시,7370,8348,-978
안산시,21302,25313,-4011
성남시,18927,23588,-4661
